#At time x allocated y bytes for process z from i to j
At time 6 allocated 8 bytes for process 1 from 0 to 7
At time 8 allocated 128 bytes for process 2 from 128 to 255
At time 14 freed 128 bytes from process 2 from 128 to 255
At time 14 allocated 4 bytes for process 3 from 8 to 11
At time 15 freed 4 bytes from process 3 from 8 to 11
At time 17 allocated 256 bytes for process 4 from 256 to 511
At time 25 freed 8 bytes from process 1 from 0 to 7
At time 25 allocated 64 bytes for process 5 from 0 to 63
At time 26 freed 64 bytes from process 5 from 0 to 63
At time 31 freed 256 bytes from process 4 from 256 to 511
